AreaCode,eGRID subregion name,CO2,CH4,N2O,CO2e,Annual NOX,Ozone Season NOX,SO2,CO2,CH4,N2O,CO2e,Annual NOX,Ozone Season NOX,SO2,Grid Gross Loss (%)
AKGD,ASCC Alaska Grid,"1,052.1",0.088,0.012,"1,057.8",5.1,5.4,0.423,"1,224.5",0.123,0.017,"1,232.5",7.0,7.6,0.583,5.0%
AKMS,ASCC Miscellaneous,495.8,0.023,0.004,497.6,7.9,7.3,0.680,"1,587.9",0.069,0.012,"1,593.3",25.4,24.6,2.185,5.0%
AZNM,WECC Southwest,776.0,0.051,0.007,779.4,0.4,0.4,0.121,"1,205.2",0.065,0.009,"1,209.5",0.7,0.7,0.162,5.1%
CAMX,WECC California,497.4,0.030,0.004,499.3,0.5,0.4,0.030,"1,055.0",0.049,0.006,"1,058.0",0.8,0.7,0.055,5.1%
ERCT,ERCOT All,771.1,0.049,0.007,774.3,0.5,0.5,0.407,"1,194.9",0.067,0.009,"1,199.2",0.9,0.9,0.665,5.1%
FRCC,FRCC All,813.8,0.048,0.006,816.9,0.3,0.3,0.142,"1,044.4",0.056,0.007,"1,048.0",0.4,0.4,0.208,5.1%
HIMS,HICC Miscellaneous,"1,155.5",0.124,0.019,"1,163.1",7.2,7.3,3.069,"1,619.2",0.157,0.025,"1,629.6",11.4,11.9,4.074,5.4%
HIOA,HICC Oahu,"1,575.4",0.163,0.025,"1,586.9",3.9,3.7,6.353,"1,810.3",0.177,0.028,"1,822.9",4.4,4.2,7.330,5.4%
MROE,MRO East,"1,479.6",0.133,0.019,"1,488.7",1.0,1.0,0.306,"1,672.9",0.147,0.021,"1,682.8",1.1,1.2,0.334,5.1%
MROW,MRO West,936.5,0.102,0.015,943.4,0.8,0.9,0.907,"1,794.7",0.183,0.026,"1,807.0",1.6,1.6,1.640,5.1%
NEWE,NPCC New England,536.4,0.063,0.008,540.5,0.3,0.3,0.122,923.3,0.073,0.010,928.1,0.5,0.3,0.249,5.1%
NWPP,WECC Northwest,602.1,0.056,0.008,605.9,0.5,0.5,0.318,"1,515.7",0.134,0.019,"1,524.7",1.5,1.5,0.790,5.1%
NYCW,NPCC NYC/Westchester,885.2,0.023,0.003,886.6,0.2,0.2,0.028,971.8,0.021,0.002,973.0,0.3,0.3,0.021,5.1%
NYLI,NPCC Long Island,"1,200.7",0.135,0.018,"1,209.3",0.9,0.9,0.474,"1,316.7",0.039,0.005,"1,319.1",0.9,0.8,0.654,5.1%
NYUP,NPCC Upstate NY,274.6,0.015,0.002,275.4,0.1,0.1,0.043,920.1,0.043,0.005,922.5,0.5,0.3,0.189,5.1%
PRMS,Puerto Rico Miscellaneous,"1,593.5",0.087,0.014,"1,599.9",3.1,3.1,4.262,"1,670.9",0.074,0.013,"1,676.7",3.5,3.5,5.578,0.0%
RFCE,RFC East,657.4,0.045,0.006,660.3,0.3,0.2,0.302,"1,278.7",0.097,0.013,"1,285.1",0.7,0.6,0.773,5.1%
RFCM,RFC Michigan,"1,216.4",0.116,0.016,"1,224.2",0.6,0.6,0.931,"1,597.3",0.149,0.021,"1,607.4",0.9,0.8,1.413,5.1%
RFCW,RFC West,"1,000.1",0.087,0.012,"1,005.9",0.5,0.4,0.620,"1,843.6",0.178,0.026,"1,855.7",1.1,0.9,1.180,5.1%
RMPA,WECC Rockies,"1,124.9",0.101,0.014,"1,131.7",0.6,0.6,0.348,"1,676.4",0.129,0.018,"1,685.1",0.9,0.9,0.430,5.1%
SPNO,SPP North,952.6,0.100,0.014,959.4,0.5,0.6,0.160,"1,943.0",0.198,0.029,"1,956.5",1.2,1.2,0.325,5.1%
SPSO,SPP South,970.4,0.072,0.010,975.3,0.8,0.8,0.862,"1,528.2",0.105,0.015,"1,535.2",1.3,1.3,1.291,5.1%
SRMV,SERC Mississippi Valley,801.0,0.040,0.006,803.7,0.5,0.5,0.602,"1,220.7",0.073,0.010,"1,225.6",0.9,0.9,1.407,5.1%
SRMW,SERC Midwest,"1,369.9",0.151,0.022,"1,380.2",1.0,0.7,2.410,"1,808.6",0.186,0.027,"1,821.2",1.4,1.1,3.244,5.1%
SRSO,SERC South,893.3,0.064,0.009,897.7,0.4,0.4,0.151,"1,354.8",0.092,0.013,"1,361.1",0.8,0.6,0.309,5.1%
SRTV,SERC Tennessee Valley,933.1,0.082,0.012,938.6,0.4,0.4,0.537,"1,671.0",0.152,0.022,"1,681.3",0.7,0.6,0.968,5.1%
SRVC,SERC Virginia/Carolina,623.0,0.047,0.007,625.9,0.3,0.3,0.157,"1,308.8",0.099,0.014,"1,315.1",0.7,0.7,0.351,5.1%
U.S.,,823.1,0.066,0.009,827.5,0.5,0.5,0.473,"1,405.3",0.107,0.015,"1,412.5",1.0,0.9,0.838,5.1%
